SalesQuotaKey,EmployeeKey,DateKey,First Name,Last Name,Full Name,Gender,CalendarYear,CalendarQuarter,SalesAmountQuota
54,272,20220330,Stephen,Jiang,Stephen Jiang,Male,2022,1,154000.00
55,281,20220330,Michael,Blythe,Michael Blythe,Male,2022,1,1324000.00
56,282,20220330,Linda,Mitchell,Linda Mitchell,Female,2022,1,1009000.00
57,283,20220330,Jillian,Carson,Jillian Carson,Female,2022,1,1352000.00
58,284,20220330,Garrett,Vargas,Garrett Vargas,Male,2022,1,329000.00
59,285,20220330,Tsvi,Reiter,Tsvi Reiter,Male,2022,1,647000.00
60,286,20220330,Pamela,Ansman-Wolfe,Pamela Ansman-Wolfe,Female,2022,1,226000.00
61,287,20220330,Shu,Ito,Shu Ito,Male,2022,1,813000.00
62,288,20220330,José,Saraiva,José Saraiva,Male,2022,1,452000.00
63,289,20220330,David,Campbell,David Campbell,Male,2022,1,341000.00
64,290,20220330,Amy,Alberts,Amy Alberts,Female,2022,1,15000.00
65,291,20220330,Jae,Pak,Jae Pak,Female,2022,1,1262000.00
66,292,20220330,Ranjit,Varkey Chudukatil,Ranjit Varkey Chudukatil,Male,2022,1,409000.00
67,293,20220330,Tete,Mensa-Annan,Tete Mensa-Annan,Male,2022,1,321000.00
68,272,20220630,Stephen,Jiang,Stephen Jiang,Male,2022,2,107000.00
69,281,20220630,Michael,Blythe,Michael Blythe,Male,2022,2,729000.00
70,282,20220630,Linda,Mitchell,Linda Mitchell,Female,2022,2,860000.00
71,283,20220630,Jillian,Carson,Jillian Carson,Female,2022,2,839000.00
72,284,20220630,Garrett,Vargas,Garrett Vargas,Male,2022,2,239000.00
73,285,20220630,Tsvi,Reiter,Tsvi Reiter,Male,2022,2,571000.00
74,286,20220630,Pamela,Ansman-Wolfe,Pamela Ansman-Wolfe,Female,2022,2,190000.00
75,287,20220630,Shu,Ito,Shu Ito,Male,2022,2,470000.00
76,288,20220630,José,Saraiva,José Saraiva,Male,2022,2,288000.00
77,289,20220630,David,Campbell,David Campbell,Male,2022,2,151000.00
78,290,20220630,Amy,Alberts,Amy Alberts,Female,2022,2,33000.00
79,291,20220630,Jae,Pak,Jae Pak,Female,2022,2,938000.00
80,292,20220630,Ranjit,Varkey Chudukatil,Ranjit Varkey Chudukatil,Male,2022,2,217000.00
81,293,20220630,Tete,Mensa-Annan,Tete Mensa-Annan,Male,2022,2,281000.00
82,272,20220928,Stephen,Jiang,Stephen Jiang,Male,2022,3,58000.00
